AM Result File
MAPDL 2025 R1          BUILD 25.1        UP20250123    WINDOWS x64 
04/04/2026      11:15:42
Title: --Transient Thermal
Node Number	X Coordinate	Y Coordinate	Z Coordinate	Deposition-Temp
   13444	-0.270000045E-02	-0.600000286E-03	 0.399999928E-03	  701.079618    
   13475	-0.300000048E-02	-0.900000310E-03	 0.999999225E-04	  701.069505    
   13472	-0.300000048E-02	-0.600000286E-03	 0.999999225E-04	  701.069505    
   13445	-0.270000045E-02	-0.600000286E-03	 0.999999225E-04	  701.069505    
   13405	-0.240000043E-02	-0.600000286E-03	 0.399999928E-03	  701.079618    
   13406	-0.240000043E-02	-0.600000286E-03	 0.999999225E-04	  701.069505    
   13357	-0.210000040E-02	-0.600000286E-03	 0.399999928E-03	  701.079618    
   13358	-0.210000040E-02	-0.600000286E-03	 0.999999225E-04	  701.069505    
   13306	-0.180000038E-02	-0.600000286E-03	 0.399999928E-03	  701.079618    
   13307	-0.180000038E-02	-0.600000286E-03	 0.999999225E-04	  701.069505    
   13252	-0.150000036E-02	-0.600000286E-03	 0.399999928E-03	  701.079618    
   13253	-0.150000036E-02	-0.600000286E-03	 0.999999225E-04	  701.069505    
   13195	-0.120000033E-02	-0.600000286E-03	 0.399999928E-03	  701.079618    
   13196	-0.120000033E-02	-0.600000286E-03	 0.999999225E-04	  701.069505    
   13135	-0.900000310E-03	-0.600000286E-03	 0.399999928E-03	  701.079618    
   13136	-0.900000310E-03	-0.600000286E-03	 0.999999225E-04	  701.069505    
   13072	-0.600000286E-03	-0.600000286E-03	 0.399999928E-03	  701.079618    
   13073	-0.600000286E-03	-0.600000286E-03	 0.999999225E-04	  701.069505    
   13468	-0.300000048E-02	-0.300000262E-03	 0.399999928E-03	  701.079618    
   13441	-0.270000045E-02	-0.300000262E-03	 0.399999928E-03	  701.079618    
   13469	-0.300000048E-02	-0.300000262E-03	 0.999999225E-04	  701.069505    
   13442	-0.270000045E-02	-0.300000262E-03	 0.999999225E-04	  701.069505    
   13402	-0.240000043E-02	-0.300000262E-03	 0.399999928E-03	  701.079618    
   13403	-0.240000043E-02	-0.300000262E-03	 0.999999225E-04	  701.069505    
   13354	-0.210000040E-02	-0.300000262E-03	 0.399999928E-03	  701.079618    
   13355	-0.210000040E-02	-0.300000262E-03	 0.999999225E-04	  701.069505    
   13303	-0.180000038E-02	-0.300000262E-03	 0.399999928E-03	  701.079618    
   13304	-0.180000038E-02	-0.300000262E-03	 0.999999225E-04	  701.069505    
   13249	-0.150000036E-02	-0.300000262E-03	 0.399999928E-03	  701.079618    
   13250	-0.150000036E-02	-0.300000262E-03	 0.999999225E-04	  701.069505    
   13192	-0.120000033E-02	-0.300000262E-03	 0.399999928E-03	  701.079618    
   13193	-0.120000033E-02	-0.300000262E-03	 0.999999225E-04	  701.069505    
   13132	-0.900000310E-03	-0.300000262E-03	 0.399999928E-03	  701.079618    
   13133	-0.900000310E-03	-0.300000262E-03	 0.999999225E-04	  701.069505    
   13069	-0.600000286E-03	-0.300000262E-03	 0.399999928E-03	  701.079618    
   13070	-0.600000286E-03	-0.300000262E-03	 0.999999225E-04	  701.069505    
   13006	-0.300000262E-03	-0.300000262E-03	 0.399999928E-03	  701.079618    
   13007	-0.300000262E-03	-0.300000262E-03	 0.999999225E-04	  701.069505    
   12943	-0.238418579E-09	-0.300000262E-03	 0.399999928E-03	  701.079618    
