AM Result File
MAPDL 2025 R1          BUILD 25.1        UP20250123    WINDOWS x64 
04/04/2026      11:16:36
Title: --Static Structural
Node Number	X Coordinate	Y Coordinate	Z Coordinate	Recoater-Interference
   13361	-0.210000040E-02	-0.900000310E-03	 0.999999225E-04	 0.103745226E-05
   13309	-0.180000038E-02	-0.900000310E-03	 0.399999928E-03	-0.730685966E-06
   13310	-0.180000038E-02	-0.900000310E-03	 0.999999225E-04	 0.103745227E-05
   13255	-0.150000036E-02	-0.900000310E-03	 0.399999928E-03	-0.730685958E-06
   13256	-0.150000036E-02	-0.900000310E-03	 0.999999225E-04	 0.103745228E-05
   13198	-0.120000033E-02	-0.900000310E-03	 0.399999928E-03	-0.730685950E-06
   13199	-0.120000033E-02	-0.900000310E-03	 0.999999225E-04	 0.103745229E-05
   13474	-0.300000048E-02	-0.900000310E-03	 0.399999928E-03	-0.730685994E-06
   13471	-0.300000048E-02	-0.600000286E-03	 0.399999928E-03	-0.730685988E-06
   13444	-0.270000045E-02	-0.600000286E-03	 0.399999928E-03	-0.730685982E-06
   13475	-0.300000048E-02	-0.900000310E-03	 0.999999225E-04	 0.103745224E-05
   13472	-0.300000048E-02	-0.600000286E-03	 0.999999225E-04	 0.103745225E-05
   13445	-0.270000045E-02	-0.600000286E-03	 0.999999225E-04	 0.103745225E-05
   13405	-0.240000043E-02	-0.600000286E-03	 0.399999928E-03	-0.730685975E-06
   13406	-0.240000043E-02	-0.600000286E-03	 0.999999225E-04	 0.103745226E-05
   13357	-0.210000040E-02	-0.600000286E-03	 0.399999928E-03	-0.730685968E-06
   13358	-0.210000040E-02	-0.600000286E-03	 0.999999225E-04	 0.103745227E-05
   13306	-0.180000038E-02	-0.600000286E-03	 0.399999928E-03	-0.730685961E-06
   13307	-0.180000038E-02	-0.600000286E-03	 0.999999225E-04	 0.103745228E-05
   13252	-0.150000036E-02	-0.600000286E-03	 0.399999928E-03	-0.730685953E-06
   13253	-0.150000036E-02	-0.600000286E-03	 0.999999225E-04	 0.103745228E-05
   13195	-0.120000033E-02	-0.600000286E-03	 0.399999928E-03	-0.730685944E-06
   13196	-0.120000033E-02	-0.600000286E-03	 0.999999225E-04	 0.103745229E-05
   13135	-0.900000310E-03	-0.600000286E-03	 0.399999928E-03	-0.730685936E-06
   13136	-0.900000310E-03	-0.600000286E-03	 0.999999225E-04	 0.103745230E-05
   13072	-0.600000286E-03	-0.600000286E-03	 0.399999928E-03	-0.730685926E-06
   13073	-0.600000286E-03	-0.600000286E-03	 0.999999225E-04	 0.103745231E-05
   13468	-0.300000048E-02	-0.300000262E-03	 0.399999928E-03	-0.730685982E-06
   13441	-0.270000045E-02	-0.300000262E-03	 0.399999928E-03	-0.730685975E-06
   13469	-0.300000048E-02	-0.300000262E-03	 0.999999225E-04	 0.103745225E-05
   13442	-0.270000045E-02	-0.300000262E-03	 0.999999225E-04	 0.103745226E-05
   13402	-0.240000043E-02	-0.300000262E-03	 0.399999928E-03	-0.730685969E-06
   13403	-0.240000043E-02	-0.300000262E-03	 0.999999225E-04	 0.103745227E-05
   13354	-0.210000040E-02	-0.300000262E-03	 0.399999928E-03	-0.730685962E-06
   13355	-0.210000040E-02	-0.300000262E-03	 0.999999225E-04	 0.103745227E-05
   13303	-0.180000038E-02	-0.300000262E-03	 0.399999928E-03	-0.730685954E-06
   13304	-0.180000038E-02	-0.300000262E-03	 0.999999225E-04	 0.103745228E-05
